,author,published_at,updated_at,like_count,text
48,@jonathanroberts-bj7yl,2023-10-17T08:17:19Z,2023-10-17T08:17:19Z,1,shame film ’ well
49,@nhangnhung7219,2023-10-15T12:54:03Z,2023-10-15T12:55:03Z,0,mother give birth son cant bear watch baby fall scene 😢 movie great btw
50,@kevd2448,2023-10-15T09:02:38Z,2023-10-15T09:02:38Z,0,great movie
51,@kshitizdavid800,2023-10-14T18:09:16Z,2023-10-14T18:09:16Z,0,ron livingston play young version billy crudups henry allen movie
52,@lawrencepatricio5776,2023-10-14T10:48:40Z,2023-10-14T10:48:40Z,0,evereyone talk michael keaton yea love batman havent read anyone mention christopher reeve grow watch superman flick love see movie
53,@jay2jay836,2023-10-13T19:35:46Z,2023-10-13T19:35:46Z,0,dc trashtrynna play spiderman yo flash show top tier play ad
54,@nugget4yearsago518,2023-10-13T18:11:43Z,2023-10-13T18:11:43Z,0,slop forehead flash hilarious
55,@Dragoneer,2023-10-11T21:46:23Z,2023-10-11T21:46:23Z,0,’ recast hethemit ’ sihrfififofum ezra millar
56,@gtprime2410,2023-10-10T07:03:50Z,2023-10-10T07:03:50Z,1,favorite hero history
57,@josefsa666,2023-10-09T10:01:41Z,2023-10-09T10:01:41Z,0,lol pedo movie hollywood proudly display everywhere 😂 speak horrible behaviour get censor
58,@pangkoulee7648,2023-10-08T09:33:18Z,2023-10-08T09:33:18Z,0,uk trailer honest opinion movie like
59,@lostsouls6666,2023-10-08T01:02:58Z,2023-10-08T01:02:58Z,1,garbage
60,@samael9445,2023-10-07T13:17:28Z,2023-10-07T13:18:41Z,0,temprial paralleltime travel⚡️⚡️parallel universe
61,@_ka_de,2023-10-04T13:54:47Z,2023-10-04T13:54:47Z,1,see make improvement arkham knight engine 🤣
62,@Guy767,2023-10-01T07:56:44Z,2023-10-01T07:56:50Z,0,completely unrelated flash trip
63,@davidkoblentz,2023-09-28T05:31:46Z,2023-09-28T05:31:46Z,5,movie far good dc movie put aside crazy ezra seem real life nail role various batman work cameo dc movie work
64,@darkspawn88,2023-09-24T23:21:14Z,2023-09-24T23:21:14Z,0,except graphic wich terriblethe movie good enjoy
65,@BabyZ0914,2023-09-24T07:10:43Z,2023-09-24T07:10:43Z,0,underrate great movie
66,@osoo135,2023-09-22T21:24:18Z,2023-09-22T21:24:18Z,0,freak super girl weak af ☕️😒
67,@harshsen3765,2023-09-22T11:33:11Z,2023-09-22T11:33:11Z,0,thing bad movie st cgi nd clara fight scene shld make like man steel super fight scene fight like c grade movie punch bogus really disappoint rd emotional build supergirl flash even end security room th zor general powerful mo steel come flash kill lara single blow shld dominate sinhle handedly even though fight equal lvp sup cant even tell villain fight sup warner bros suck shld leave dc franchise let zack nolan take command dc make fight scene awesome like dbz man steel like comedy movie afterall superhero movie fight fast destructive lose shope dc fire henry unneeded change downgrade reputation 👎
68,@RightBoyKA-POW,2023-09-21T21:04:07Z,2023-09-21T21:04:07Z,2,anyone else notice barry mother happy light around yellow mom murder light around blue almost though light colour atmosphere set mood scene
69,@clerk1973,2023-09-21T10:28:16Z,2023-09-21T10:28:16Z,0,🤮🤮🤮🤮🤮🤢🤢🤢❌❌
70,@clerk1973,2023-09-21T10:28:04Z,2023-09-21T10:28:04Z,0,💩💩💩💩💩💩
71,@clerk1973,2023-09-21T10:27:48Z,2023-09-21T10:27:48Z,3,bad movie 😂😂😂😂credit go mfkr jam gun
72,@natebravo7521,2023-09-20T00:21:14Z,2023-09-20T00:21:14Z,0,warner bros need make redemption michael keaton batman movie
