,author,published_at,updated_at,like_count,text
40,Steve Vadeboncoeur,2023-11-13T14:23:45Z,2023-11-13T14:23:45Z,1,#1 Movie in the World!! LETS GOOOOOO
41,Cosmic Lore,2023-11-13T14:21:46Z,2023-11-13T14:21:46Z,0,#1 at the world wife box office . Brie Larson is the Queen
42,ana ruiz,2023-11-13T14:06:07Z,2023-11-13T14:06:07Z,2,"Getting worse and worse and worse by the minute ... 
Mehhhhhhh"
43,Dennis Warren,2023-11-13T14:01:08Z,2023-11-13T14:01:08Z,1,Another Hollywood L
44,Deepak Gaikwad,2023-11-13T13:55:26Z,2023-11-13T13:55:26Z,0,"The days of Marvel producing superhero films starring male heroes like Iron Man, Thor, Captain America, and Dr. Strange are long gone; currently, the studio only produces films with female leads…"
45,Vijay Baidya,2023-11-13T13:30:36Z,2023-11-13T13:30:36Z,3,The downfall of Marvel has started. No more male superheroes and good stories are in Marvel. Only stupid and worst characters are being introduced to the audience. The Marvels is set to the lowest opening movie of studio. Dir hard fans are now moving to DC.
46,Roger i Elmhult,2023-11-13T13:27:01Z,2023-11-13T13:27:01Z,3,Well this seem to suck.
47,Alex Xander,2023-11-13T13:08:12Z,2023-11-13T13:08:12Z,6,"Boring,bad...skip this."
48,Rick Smith,2023-11-13T12:59:24Z,2023-11-13T12:59:24Z,0,An m and m song in soundtrack talk about the bottom of the barrel
49,darth qwebite,2023-11-13T12:54:42Z,2023-11-13T12:54:42Z,0,Отряд самоубийц пс 5  2024
50,darth qwebite,2023-11-13T12:51:50Z,2023-11-13T12:51:50Z,0,Люкенг прртиво супермена
51,RealityCheck,2023-11-13T12:28:56Z,2023-11-13T12:30:14Z,2,Omg... I saw the movie and it's embarrassing. Ohh God it's embarrassing... I can't find another word. What were you thinking Marvel?!
52,Tactical1,2023-11-13T12:13:21Z,2023-11-13T12:13:21Z,2,Looks like another major league failure. Just add water…
53,Alroy Uy,2023-11-13T12:03:25Z,2023-11-13T12:03:25Z,1,I had no idea Jada and Will Smith were part of the movie. I suppose in our universe they absorbed entanglements 😅
