,author,published_at,updated_at,like_count,text
49,@SpiderFan14,2023-03-30T22:43:36Z,2023-03-30T22:43:36Z,34,glad finally get experience thrill see indiana jones movie theater
50,@salvadordiaz9124,2023-03-30T09:39:08Z,2023-03-30T09:39:08Z,1,marion
51,@TheFab1013,2023-03-30T04:17:13Z,2023-03-30T04:17:13Z,2,sure hell ’ watch shit show iger kennedy ruin star war willow indy two bad thing disney include whole bunch thing
52,@smeg5935,2023-03-29T06:49:59Z,2023-03-29T06:49:59Z,2,skip one
53,@jcplays5831,2023-03-29T03:10:44Z,2023-03-29T03:10:56Z,13,’ good sallah back one adventure final adventure movie always bring joy
54,@michaelbray7233,2023-03-28T21:51:39Z,2023-03-28T21:51:39Z,5,cant wait movie epically fail absolutely bomb financially kathleen kennedy finally get deservesto fire gross incompetence head lucasfilm finally go happen
55,@MrCodes84,2023-03-28T12:52:04Z,2023-03-28T12:52:04Z,1,parachute scene go franchise new nuke fridge
56,@sev124,2023-03-27T22:08:52Z,2023-03-27T22:08:52Z,2,love bot comment cant wait tank finally take kennedy
57,@1minutecomicswalahollywood648,2023-03-27T17:47:00Z,2023-03-27T17:47:00Z,1,indiana jones one favorite movie series
58,@thesuperiorkitten,2023-03-27T03:05:12Z,2023-03-27T03:05:23Z,0,give ‘ em hell indiana jones
59,@BreadCroissant,2023-03-26T16:12:04Z,2023-03-26T16:12:04Z,0,plot twist indy still alive since holy grail make healthy
60,@alextepe4309,2023-03-26T00:52:57Z,2023-03-26T00:52:57Z,0,previous film vary quality harrison ford always great jones despite octogenarian look like still bring lot charisma role bear play
61,@misjathecinemalover,2023-03-24T18:40:12Z,2023-03-24T18:40:12Z,1,ask question lmao😂😂
62,@bentedelmann7411,2023-03-23T20:26:05Z,2023-03-23T20:26:05Z,0,jürgen voller
63,@KAL5370,2023-03-21T11:48:03Z,2023-03-21T11:48:03Z,1,let fire commence way every single person lucasfilm would get fire deserve kk lead wrong path reap come lol
64,@joshdietrich5080,2023-03-21T11:03:52Z,2023-03-21T11:03:52Z,0,notice something seriously hope ’ wrong indiana jump little car look like young version even though ’ clearly ’ also look like whoever hang onto helena wear fedora young old indiana together god seriously hope
65,@chucky187,2023-03-21T07:41:41Z,2023-03-21T07:41:41Z,1,kingdom crystal douche suck bad make indy loser like han solo another mary sue chick replace male hero fail like disney star war
66,@indianaCurtis,2023-03-20T18:24:40Z,2023-03-20T18:24:40Z,0,❤❤❤
67,@Red0543,2023-03-20T17:40:38Z,2023-03-20T17:40:38Z,0,predict bait switch indy end get replace fleabag end movie
68,@tonyleidyiii1652,2023-03-20T14:29:07Z,2023-03-20T14:29:07Z,0,dial destiny go great
69,@bryanlozado2752,2023-03-20T12:06:45Z,2023-03-20T12:06:45Z,0,let hope put movie academy award winner 🏆 legendary actor harrison ford also return indian jones
70,@carterkoning1214,2023-03-19T14:43:58Z,2023-03-19T14:43:58Z,2,favorite part trailer
71,@davidschaber7289,2023-03-18T14:36:30Z,2023-03-18T14:36:30Z,1,title indiana jones search lose artifact act film begin egypt indiana jones search lose artifact call eye ra jones assist local guide together search pyramid find artifact secret room touch trigger trap pyramid begin collapse jones narrowly escape artifact act jones travel berlin sell artifact museum meet old flame marion ravenwood work curator museum tell certain dr schmidt look artifact already threaten marion jones marion decide search together clue lead another artifact call sword atlantis act jones marion travel greece find sword go ancient city find sword temple however touch attack mysterious man name antonius group mercenary jones marion narrowly escape sword steal antonius act jones marion return berlin meet dr schmidt posse eye ra explain need sword activate eye thus gain access powerful artifact call tear god jones marion team old friend archaeologist marcus brody help antonius dr defeat schmidt find tear god act jones team travel secret crypt tear god fight antonius dr fight schmidt gain access jones finally manage get hold tear god antonius dr defeat smith return artifact museum jones return egypt say goodbye native guide epilogue jones return berlin give marion antique piece jewelry two confess love decide move together film end jones marion get taxi drive away camera pan city berlin
72,@miawilliam5073,2023-03-17T06:25:13Z,2023-03-17T06:25:13Z,2,trailer must lie put indiana movie nothing indiana promote feminazi ideology
73,@daliandan4583,2023-03-17T06:24:11Z,2023-03-17T06:24:11Z,0,hate political agenda go indiana 🤦‍♂️ continue want ruin classic character promote hateful political ideology movie go rubbish please realize live st century stop oldfashioned agenda nobody want make movie train small group people live circle privilege dont live real world 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️💩💩💩💩💩
74,@missilemaker188,2023-03-17T05:55:28Z,2023-03-17T05:55:28Z,1,get ready bait n switch mark word
75,@howardmcomber8578,2023-03-16T20:50:42Z,2023-03-16T20:50:42Z,1,want short round even credit please ke huy quan
76,@lla5439,2023-03-16T04:34:56Z,2023-03-16T04:34:56Z,0,“ still nazi ” something true indy would say nazi ’ simply antagonist previous original movie desire artifact indy bad unfaithful write make indy seem like activist character
77,@indianajones7553,2023-03-15T19:16:43Z,2023-03-15T19:16:43Z,0,like
78,@CubanPete1990,2023-03-14T02:15:34Z,2023-03-14T02:15:34Z,0,’ ’ wait 😜 go see
79,@Mister_Matt_X,2023-03-13T21:54:45Z,2023-03-13T21:54:45Z,1,’ interest indy movie without mutt since crystal skull… many people include think mutt get draft ‘ nam since take place ‘ somehow crystal skull dial destiny mutt finish school go adventure indy get draft fight nam indy tell ’ artifact nam find bring back home indy would take museum mutt get kill action indy devastate hard mutt love mutt… hope jam mangold tell u exactly happen mutt hope give mutt closure realize instead greaser good guy inside want like indy… expectation high…
80,@jackraider1039,2023-03-10T13:10:58Z,2023-08-06T20:34:28Z,2,jesus movie amaze
81,@tmcmagic5292,2023-03-09T20:11:59Z,2023-03-09T20:11:59Z,3,thank fuck original theme back
82,@ciaranmcdaid4717,2023-03-08T23:03:26Z,2023-03-08T23:03:26Z,0,sallah sound like gimli
83,@androulageorgiou4384,2023-03-08T18:09:56Z,2023-03-08T18:09:56Z,3,indiana jones george lucas without wont remind new star war film listen yoda voice soul go george lucas universe go friend one sad
84,@ednguyen3822,2023-03-07T01:33:21Z,2023-03-07T01:33:21Z,1,please ’ suck…please ’ suck…
85,@signedelacroix7213,2023-03-06T18:20:33Z,2023-03-06T18:20:33Z,0,haaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
86,@thehistoricalmember,2023-03-05T19:49:16Z,2023-03-05T19:49:16Z,4,spoiler indiana jones die movie
87,@raydn23,2023-03-05T15:00:01Z,2023-03-05T15:00:01Z,1,gon na bait switch make ugly old woman new indiana jones
88,@andrewthompson4148,2023-03-04T21:39:04Z,2023-03-04T21:39:04Z,0,gweedo could shoot first obvious reason ferment deathstar hanger scanner crew suppose hold gun point obviously ruthlessly gun
89,@andysummersthxcinemaandmyc7748,2023-03-03T22:44:59Z,2023-03-03T22:44:59Z,3,boycott lucasfilm kk disney boycott john williams score perform lso boycott john williams music rubbish since mary sue star war use lso booo hiss get bet disney kk put disney kk lsohaters boooooo hiss boycott rubbish indy hope flop boycott disney rubbish fire kk doomcock right fire kk fire kk fire kk
90,@andysummers485,2023-03-03T22:42:57Z,2023-03-03T22:42:57Z,4,boycott lucasfilm kk disney boycott john williams score perform lso boycott john williams music rubbish since mary sue star war use lso booo hiss get bet disney kk put disney kk lsohaters boooooo hiss boycott rubbish indy hope flop
91,@andysummers485,2023-03-03T22:39:37Z,2023-03-03T22:39:37Z,5,boycott lucasfilm kk disney
92,@andysummersthxcinemaandmyc7748,2023-03-03T22:39:17Z,2023-03-03T22:39:17Z,5,boycott lucasfilm kk disney
93,@thetrueprohomecinemasound175,2023-03-03T22:38:47Z,2023-03-03T22:38:47Z,6,boycott lucasfilm kk disney
94,@thetrueprohomecinemasound175,2023-03-03T22:38:24Z,2023-03-03T22:38:24Z,6,garbage trash dumpster fire boycott lucasfilm rubbish movie boycott kk disney
95,@goonsgame,2023-03-03T20:40:02Z,2023-03-03T20:40:02Z,1,guy drag helena plane nazi armband scene take place
96,@andre.mateus,2023-03-03T05:45:31Z,2023-03-03T05:45:31Z,3,hope keep iconic punch sound
97,@kazansky22,2023-03-02T23:55:46Z,2023-03-02T23:55:46Z,3,see youtube disable view amount dislike click dislike
98,@michaelreeves4529,2023-03-02T19:17:01Z,2023-03-02T19:17:01Z,5,involve master adventure indiana jones know go great movie matter plot
99,@untilthewheelsfalloff1751,2023-03-02T02:01:48Z,2023-03-02T02:01:48Z,0,de age technology might kill franchise really hope good
100,@galacticreviewer,2023-03-01T22:51:17Z,2023-03-01T22:51:17Z,5,teaser make excite movie first trailer
101,@scandiasilver4184,2023-03-01T17:58:06Z,2023-03-01T17:58:06Z,1,best part indy say ‘ ’ understand coulda class coulda contender coulda somebody
102,@johnzimek,2023-03-01T08:55:38Z,2023-03-01T08:55:38Z,1,franchise jump shark
103,@drasticboy1218,2023-02-28T13:56:16Z,2023-02-28T13:56:16Z,3,anybody else get uncharted vibe plane sequence end 😂
104,@mixstudio-sham1463,2023-02-28T12:37:47Z,2023-02-28T12:37:47Z,0,get excite end watch
