,author,published_at,updated_at,like_count,text
47,@oa4485,2023-12-02T02:16:05Z,2023-12-02T02:16:05Z,0,pay full theater another movie people hope go movie
48,@emmon5377,2023-12-02T01:57:16Z,2023-12-02T01:57:16Z,2,cringe fill movie even steal plot spaceballs song dance number say minute pure hell marvel colossal flop track first mcu film unable reach million domestic
49,@mmazurr,2023-12-02T00:48:57Z,2023-12-02T00:48:57Z,1,really like movie retrospect trailer specific terrible really lead expect different plot feel movie actually
50,@AFullNelson,2023-12-01T23:54:42Z,2023-12-01T23:54:42Z,1,hear change “ pad ” one scene
51,@emmon5377,2023-12-01T23:14:01Z,2023-12-01T23:14:01Z,2,huge flop hardly sell ticket marvel big flop mcu history lose million great idea market comic book movie girl
52,@IlokanoWarrior,2023-12-01T22:57:51Z,2023-12-01T22:57:51Z,0,’ wait weekend want watch marvel
53,@emmon5377,2023-12-01T21:47:32Z,2023-12-01T21:47:32Z,2,big flop mcu history marvel continue tank box office drop number disney full panic mode future mcu look well
54,@Swordsman-gr9qc,2023-12-01T20:17:21Z,2023-12-01T20:17:21Z,0,story grind break fun play like tv episode single comic book issue mid credit scene show ’ come next ’ go xciting … get ready capcom presents……
55,@guasaharrymamanihyhg-mm6rv,2023-12-01T18:32:23Z,2023-12-01T18:32:23Z,2,marvel termino en endgame esta e la prueba
56,@jmg4388,2023-12-01T17:04:05Z,2023-12-01T17:04:05Z,1,feel like marvel keep make movie cringe actress say there different reality bleed wow never hear line
57,@emmon5377,2023-12-01T16:40:44Z,2023-12-01T16:40:44Z,3,failure marvel continue stun disney female pander interest movie marvel cringe fill panderverse even steal plot spaceballs need estimate million break even marvel may big flop cinema history
58,@rsen1989,2023-12-01T15:09:52Z,2023-12-01T15:09:52Z,3,go see movie think waste time 🤔😒🤬
59,@theAdmurl498,2023-12-01T14:07:46Z,2023-12-01T14:07:46Z,3,yaygirl power waita go marvelya screw whole franchise cuz hairy legged fems
60,@deebee4575,2023-12-01T11:22:40Z,2023-12-01T11:22:40Z,2,bob iger blame horrid quality marvel covid
61,@makepistat,2023-12-01T08:59:16Z,2023-12-01T08:59:16Z,1,whats
62,@user-qb4le1jl6y,2023-12-01T08:30:24Z,2023-12-01T08:30:24Z,0,l
63,@muhammadowais8494,2023-12-01T07:26:40Z,2023-12-01T07:26:40Z,2,see movie cenima
64,@moonwalker4eva712,2023-12-01T03:27:16Z,2023-12-01T03:27:16Z,4,point watch crap anymore🤦🏻‍♂️
65,@scottlewis9127,2023-12-01T03:08:15Z,2023-12-01T03:08:15Z,2,movie look like suck whats go
66,@emmon5377,2023-12-01T02:11:06Z,2023-12-01T02:11:06Z,2,seriously pile dirt personality screen presence brie larson marvel tremendous flop lose million continue tank box office
67,@IlokanoWarrior,2023-12-01T01:38:49Z,2023-12-01T01:38:49Z,0,marvel net cost actually million worldwide make million
68,@emmon5377,2023-12-01T00:52:44Z,2023-12-01T00:52:44Z,2,brie larsons marvel big flop mcu history lose million marvel cringe fill movie even steal plot spaceballs funny thing woman disney pander didnt buy ticket marvel
69,@Swordsman-gr9qc,2023-11-30T23:47:43Z,2023-11-30T23:47:43Z,0,dont listen negativity hate bot best movie theater fun end credit cool especially watch disney plus show even fox studio also marvel stuff
70,@user-cq5fj6fr1u,2023-11-30T23:37:55Z,2023-11-30T23:37:55Z,2,corny
71,@emmon5377,2023-11-30T22:47:11Z,2023-11-30T22:47:11Z,2,captain karen show world shes incapable lead mcu give marvel big flop ever marvel continue tank box office disney brie larson angrily lash marvel fan blame failure bad product
72,@RodolfoUBRS,2023-11-30T22:42:31Z,2023-11-30T22:42:31Z,1,year try like dc cant
73,@emmon5377,2023-11-30T19:12:12Z,2023-11-30T19:12:12Z,2,marvel continue tank box office sell ticket tuesday brie larson give mcu big flop ever marvel continue break record bad way marvel track mcu film unable reach million domestic
74,@tatterdemalion898,2023-11-30T18:02:53Z,2023-11-30T18:02:53Z,1,trailer pretty much give away whole plot thank didnt plan watch one anyway xd
75,@Mhd-mu4xe,2023-11-30T18:01:12Z,2023-11-30T18:01:12Z,2,womenheroyour kid mei aint watch crap
76,@saintseiya7020,2023-11-30T16:48:25Z,2023-11-30T16:48:25Z,1,acabo de mirar con show tube dislike este video tiene dislike ¡tiene de aprobación😂
77,@Jeremiahking101,2023-11-30T16:17:23Z,2023-11-30T16:17:23Z,4,one ask lol
78,@rodrigoulala,2023-11-30T13:19:31Z,2023-11-30T13:19:31Z,4,💩💩💩💩💩💩
79,@theoutdoorguy8740,2023-11-30T11:03:50Z,2023-11-30T11:03:50Z,2,kevin feige state want female superheroes marvel men downward fall marvel movie female dont problem female superhero problem force social agenda
80,@inspirationalaries,2023-11-30T10:53:02Z,2023-11-30T10:53:02Z,2,jeez marvel give already brave go different direction dramatic music check life end cataclysmic event necessitate hero check equivalent favourite musician continue release album song one love previously get point pastiche
81,@ruserious5598,2023-11-30T09:34:48Z,2023-11-30T09:34:48Z,3,theater lmao think show hard pas ill watch godzilla
82,@yegga66,2023-11-30T08:02:50Z,2023-11-30T08:02:50Z,3,pas
83,@emmon5377,2023-11-30T07:05:57Z,2023-11-30T07:05:57Z,2,captain karen lay huge flop box office marvel continue tank disney stun woman pander didnt want ticket marvel film lose million
84,@VV-hp4jz,2023-11-30T04:22:16Z,2023-11-30T04:22:16Z,3,chicas try play super hero cute
85,@emmon5377,2023-11-30T03:46:26Z,2023-11-30T03:46:26Z,2,bore panderverse flop fill politically charge cringe bore character nobody want see marvel continue tank box office possibly big flop ever need million break even
86,@thepath5442,2023-11-30T01:25:56Z,2023-11-30T01:25:56Z,2,guy seem way bring back mcu life bring rdj cap end feminist shyte
87,@MrBigNut,2023-11-29T20:02:33Z,2023-11-29T20:02:33Z,3,oh god trash even sit trailer
88,@emmon5377,2023-11-29T18:17:09Z,2023-11-29T18:17:09Z,1,captain karen lay huge flop box office marvel continue tank box office marvel set new low low open mcu big second week drop marvel quick mcu film drop top domestic marvel set first mcu film unable reach million domestic
89,@MILFSLAYER6969,2023-11-29T15:03:09Z,2023-11-29T15:03:09Z,3,girl power b
90,@sainiPrateekofficial,2023-11-29T14:59:11Z,2023-11-29T14:59:11Z,0,jo jo tony stark ko come back kar na chata h vo like karo
91,@RoshanKzr-yq2bq,2023-11-29T14:52:55Z,2023-11-29T14:52:55Z,0,iron man plz retren
92,@luizfernando5570,2023-11-29T13:24:06Z,2023-11-29T13:24:06Z,1,likesk dislikesk
93,@radicalrikki-oh4323,2023-11-29T10:48:23Z,2023-11-29T10:48:23Z,0,like marvel trailer great
94,@abhayverma9930,2023-11-29T10:14:25Z,2023-11-29T10:14:25Z,2,vote indian superhero ❤❤
95,@IlokanoWarrior,2023-11-29T09:28:01Z,2023-11-29T09:28:01Z,0,iman vellani stand much charm teyonah parris bright future brie larson beautiful always didnt care valkyrie appearance everything else fun
96,@HotSneks,2023-11-29T07:04:09Z,2023-11-29T07:04:09Z,1,lol get woman xd
97,@minimi1,2023-11-29T05:47:04Z,2023-11-29T05:47:04Z,3,know movie bad use ironman trailer
98,@cyberprompt,2023-11-29T05:01:19Z,2023-11-29T05:01:19Z,0,hahaha feel bite break like kathy griffin
99,@ricardodsavant2965,2023-11-29T04:36:58Z,2023-11-29T04:36:58Z,1,ill pas 💨
100,@emmon5377,2023-11-29T01:20:15Z,2023-11-29T01:20:15Z,2,brie larson lay huge flop marvel make history big failure ever mcu marvel make nearly drop second week run new low mcu
101,@TheWerewolfi,2023-11-29T01:14:45Z,2023-11-29T01:14:45Z,1,nerd marvel 😩
102,@emmon5377,2023-11-29T00:22:33Z,2023-11-29T00:22:33Z,2,marvel drop stagger monday earn disney continue panic marvel animate film wish flop lose million
103,@Swordsman-gr9qc,2023-11-28T22:59:04Z,2023-11-28T22:59:04Z,0,’ pay attention misplace hate marvel ’ go theater enjoy
104,@user-cj3gu4zb9f,2023-11-28T22:11:03Z,2023-11-28T22:11:03Z,2,cammon marvel make loose interest movie surely like old day
105,@emmon5377,2023-11-28T22:09:05Z,2023-11-28T22:09:05Z,2,disney panic marvel flop big time box office bad flop mcu history low open mcu movie marvel set record big second week drop ever mcu marvel set new low quick mcu film drop domestic top
106,@fernandojuarez329,2023-11-28T21:59:51Z,2023-11-28T21:59:51Z,1,gon na cap trailer actually make little hopeful movie disappoint
107,@man1116,2023-11-28T20:28:37Z,2023-11-28T20:28:37Z,1,crap
108,@CyanetixNA,2023-11-28T19:36:04Z,2023-11-28T19:36:04Z,0,think good give thanos gauntlet
109,@letsreact5503,2023-11-28T19:19:35Z,2023-11-28T19:19:35Z,1,board director focus make good movie instead push propaganda also high time sack bob iger seem like kevin feige also mess politcs need get destroy franchise
110,@hfeybbandit9963,2023-11-28T18:43:37Z,2023-11-28T18:43:37Z,1,’ point say captain marvel strong ’ villain ’ strong
111,@michaelcarswellii1937,2023-11-28T17:24:01Z,2023-11-28T17:24:01Z,2,trailer mislead lol sue
112,@goldblue7429,2023-11-28T16:49:48Z,2023-11-28T16:49:48Z,0,black girl magic 👽 think ’ cringe wrong
113,@G-lion,2023-11-28T16:21:00Z,2023-11-28T16:21:00Z,0,bullshit need show og movie promote marvel show trailer freak band music really focus movie look like shit wouldnt spend money time watch movie people go back make good movie
114,@gc1087,2023-11-28T13:31:29Z,2023-11-28T13:31:29Z,3,movie look like trash good movie
115,@doc_vader2776,2023-11-28T12:56:17Z,2023-11-28T12:56:17Z,0,m marvel thing save movie power interest character likeable unlike rest movie
116,@ToyFiend,2023-11-28T08:42:27Z,2023-11-28T08:42:27Z,2,trailer false advertise yes movie sucked😊
117,@Spider3289,2023-11-28T08:17:46Z,2023-11-28T08:17:46Z,2,come soon trash bin near
118,@emmon5377,2023-11-28T07:37:31Z,2023-11-28T07:37:31Z,2,dull girl power movie flop box office kevin feige double woman empowerment lose big marvel lose million
119,@subsonicdeathmonkey,2023-11-28T06:49:00Z,2023-11-28T06:49:00Z,2,love great fun comic book style movie perfect deserve hate get even air hell m marvel family steal show expect carol get bite depth even though ’ sure cut lot order slim one movie punch enjoy m marvel andor captain marvel go see enjoy fun
120,@emmon5377,2023-11-28T04:52:29Z,2023-11-28T04:52:29Z,1,flop🥰
121,@ibrahimtarawally3897,2023-11-28T04:48:11Z,2023-11-28T04:48:11Z,1,mean ’ alright
122,@emmon5377,2023-11-28T04:47:51Z,2023-11-28T04:47:51Z,1,marvel big waste time big flop ever mcu seriously block cheese personality screen presence brie larson
123,@KatR264,2023-11-28T04:37:01Z,2023-11-28T04:37:01Z,2,movie really change lot thing ’ actually see also tie together number thread plant early project ’ lore fan ’ strong hint phase go embed film m marvel family really carry film really hope one day marvel writer show woman hero get truly upset big shock life still standup tall react strong way strong ’ mean never get emotional often mean gettingup feel emotional thing anyway m marvel ’ mum actually really good get scar daughter face kree soldier fight ’ develop character like captain marvel photon richness mr khan daughter carol danvers even family really enjoy movie ’ treat big ‘ life death marvel ’ thing go cinema want good movie feel like get one along major lore point seem bind matter lot pretty soon
124,@emmon5377,2023-11-28T04:09:21Z,2023-11-28T04:09:21Z,1,big flop mcu history lose million marvel continue tank box office shock disney find woman pander didnt buy ticket marvel see wish flop show badly damage disney brand
